iter	Passed	Remaining
0	2	658
1	5	879
2	7	754
3	9	708
4	11	682
5	13	649
6	14	626
7	17	636
8	19	622
9	22	639
10	23	627
11	26	629
12	28	635
13	31	650
14	34	649
15	36	648
16	38	637
17	39	626
18	42	627
19	44	625
20	46	623
21	48	617
22	50	608
23	52	607
24	54	600
25	56	594
26	58	589
27	60	583
28	62	579
29	63	573
30	65	567
31	67	563
32	69	558
33	70	553
34	72	548
35	74	543
36	75	539
37	77	535
38	79	531
39	81	527
40	82	523
41	84	520
42	86	516
43	88	513
44	90	510
45	91	506
46	95	512
47	97	510
48	98	506
49	100	503
50	103	503
51	104	499
52	106	496
53	108	493
54	110	492
55	114	497
56	116	497
57	119	497
58	122	501
59	125	500
60	127	500
61	129	498
62	132	498
63	136	502
64	139	502
65	141	501
66	143	498
67	145	496
68	147	493
69	149	490
70	151	487
71	153	485
72	155	482
73	156	478
74	158	474
75	159	470
76	160	465
77	162	461
78	163	457
79	166	456
80	167	452
81	168	448
82	170	444
83	171	441
84	172	437
85	174	433
86	175	429
87	176	426
88	178	422
89	179	418
90	180	415
91	182	412
92	183	409
93	185	405
94	186	402
95	187	399
96	189	396
97	190	392
98	191	389
99	193	386
100	194	383
101	195	379
102	197	377
103	198	374
104	199	371
105	201	368
106	202	365
107	204	362
108	205	359
109	206	357
110	208	354
111	209	351
112	210	348
113	212	346
114	213	344
115	215	341
116	217	340
117	220	340
118	222	338
119	224	336
120	225	333
121	226	331
122	228	328
123	229	326
124	231	324
125	233	323
126	235	320
127	236	318
128	238	315
129	239	313
130	240	310
131	241	307
132	243	305
133	244	303
134	247	302
135	248	300
136	250	297
137	251	295
138	252	292
139	254	291
140	256	288
141	257	286
142	258	284
143	260	281
144	261	279
145	263	277
146	264	275
147	266	273
148	267	271
149	268	268
150	270	266
151	271	264
152	272	262
153	274	260
154	275	257
155	277	255
156	278	253
157	280	251
158	281	249
159	282	247
160	283	245
161	285	243
162	286	240
163	288	238
164	289	236
165	290	234
166	292	232
167	293	230
168	295	228
169	296	226
170	297	224
171	299	222
172	300	220
173	301	218
174	303	216
175	304	214
176	305	212
177	307	210
178	308	208
179	309	206
180	311	204
181	312	202
182	314	200
183	315	198
184	316	196
185	318	194
186	319	193
187	320	191
188	322	189
189	323	187
190	324	185
191	326	183
192	327	181
193	329	179
194	330	178
195	331	176
196	333	174
197	335	173
198	337	171
199	339	169
200	340	167
201	342	165
202	343	164
203	345	162
204	346	160
205	348	158
206	349	157
207	351	155
208	352	153
209	354	151
210	355	150
211	357	148
212	358	146
213	360	144
214	361	142
215	363	141
216	364	139
217	365	137
218	367	135
219	368	133
220	369	132
221	371	130
222	372	128
223	373	126
224	375	125
225	376	123
226	378	121
227	379	119
228	381	118
229	383	116
230	384	114
231	386	113
232	387	111
233	388	109
234	390	107
235	391	106
236	392	104
237	394	102
238	395	100
239	396	99
240	398	97
241	399	95
242	400	94
243	402	92
244	403	90
245	405	88
246	406	87
247	408	85
248	409	83
249	410	82
250	412	80
251	413	78
252	414	77
253	416	75
254	417	73
255	418	71
256	420	70
257	421	68
258	422	66
259	424	65
260	425	63
261	427	61
262	428	60
263	429	58
264	430	56
265	432	55
266	433	53
267	435	51
268	436	50
269	437	48
270	439	46
271	440	45
272	442	43
273	443	42
274	444	40
275	445	38
276	447	37
277	448	35
278	449	33
279	451	32
280	452	30
281	454	28
282	455	27
283	456	25
284	458	24
285	459	22
286	460	20
287	462	19
288	463	17
289	465	16
290	466	14
291	467	12
292	469	11
293	470	9
294	471	7
295	473	6
296	474	4
297	475	3
298	477	1
299	478	0
